Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-07-10,3.2603,3.2603,3.24089,3.2603,3367.9388380664
2024-07-11,3.27,3.27,3.24089,3.27,1564.4220184164
2024-07-12,3.27,3.34,3.27,3.34,18
2024-07-15,3.34,3.37,3.33,3.37,1012
2024-07-16,3.33,3.33,3.33,3.33,1
2024-07-17,3.33,3.33,3.28,3.32,1387
2024-07-18,3.32,3.32,3.32,3.32,12
2024-07-19,3.32,3.32,3.26,3.26,215
2024-07-22,3.32,3.36,3.26,3.36,984
2024-07-23,3.36,3.36,3.36,3.36,12
2024-07-24,3.36,3.36,3.25,3.35,2009
2024-07-25,3.35,3.35,3.25,3.27,1771
2024-07-26,3.35,3.35,3.24,3.35,1019
2024-07-29,3.35,3.35,3.35,3.35,9
2024-07-30,3.35,3.35,3.35,3.35,2
2024-07-31,3.35,3.37,3.33,3.37,511
2024-08-01,3.35,3.35,3.34,3.35,1241
2024-08-02,3.35,3.35,3.35,3.35,142
2024-08-05,3.26,3.26,3.11,3.13,5119
2024-08-06,3.28,3.28,3.2,3.21,10
2024-08-07,3.23,3.24,3.16,3.24,925
2024-08-08,3.22,3.24,3.16,3.16,104
2024-08-09,3.21,3.24,3.21,3.24,67
2024-08-12,3.23,3.24,3.23,3.24,1544
2024-08-13,3.24,3.24,3.17,3.24,476
2024-08-14,3.28,3.3,3.25,3.3,336
2024-08-16,3.3,3.32,3.3,3.32,1395
2024-08-19,3.3,3.31,3.25,3.31,1610
2024-08-20,3.31,3.32,3.17,3.32,747
2024-08-21,3.32,3.32,3.17,3.17,2279
2024-08-22,3.29,3.29,3.29,3.29,10
2024-08-23,3.19,3.19,3.19,3.19,2
2024-08-26,3.32,3.32,3.32,3.32,10
2024-08-27,3.32,3.32,3.26,3.28,70
2024-08-28,3.32,3.32,3.22,3.22,229
2024-08-29,3.2,3.28,3.2,3.28,290
2024-08-30,3.28,3.28,3.25,3.28,318
2024-09-02,3.28,3.28,3.26,3.26,167
2024-09-03,3.28,3.49,3.23,3.42,9455
2024-09-04,3.42,3.42,3.37,3.42,1383
2024-09-05,3.6,3.6,3.38,3.49,835
2024-09-06,3.48,3.48,3.34,3.34,596
2024-09-09,3.49,3.49,3.38,3.4,59
2024-09-10,3.4,3.4,3.26,3.4,1165
2024-09-11,3.4,3.4,3.2,3.4,729
2024-09-12,3.28,3.28,3.28,3.28,133
2024-09-13,3.28,3.28,3.26,3.28,63
2024-09-16,3.28,3.78,3.27,3.78,26990
2024-09-17,3.67,3.98,3.67,3.82,20415
2024-09-18,3.82,3.82,3.64,3.69,3378
2024-09-19,3.7,3.76,3.61,3.66,5911
2024-09-20,3.76,3.94,3.59,3.7,38121
2024-09-23,3.79,3.79,3.67,3.75,1649
2024-09-24,3.79,3.79,3.5,3.75,5174
2024-09-25,3.7,3.7,3.53,3.7,849
2024-09-26,3.7,3.7,3.7,3.7,1
2024-09-27,3.7,3.7,3.6,3.65,244
2024-09-30,3.79,3.9,3.63,3.79,8481
2024-10-01,3.79,3.79,3.64,3.71,39
2024-10-02,3.71,3.71,3.54,3.71,187
2024-10-03,3.5,3.71,3.5,3.71,65
2024-10-04,3.7,3.7,3.52,3.7,100
